trec_year,query_id,query,n_candidates,n_highly_relevant,first_passage_preview
2021,1040198,who is the final arbiter of florida law in instances where there is no federal authority?,100,8,"The Court is the final arbiter of Florida law, and its decisions are binding authority for all other Florida state courtsand for federal courts when they apply Florida law. In most instances, the only"
2021,1104300,which part of the life cycle is dominant in bryophyte?,100,52,"Multiple advantages developed in the sporophyte stage of plants as they evolved from simple gametophyte-dominant bryophyte ancestors to the vast array of much more successful and dominant ferns, gymno"
2021,1104447,which kind of continental boundary is formed where two plates move horizontally past one another?,100,39,"where plates move apart. These begin as continental rifts and evolve to become mid-ocean ridges where oceanic crust is created. EXAMPLE: east african rift, continental rift. Sliding Plate Boundary -- "
2021,1107821,what was radio free europe?,100,12,"The CIA ended its involvement in Radio Free Europe’s financing and operation in 1971, and control was transferred to a Board for International Broadcasting appointed by the U.S. president. Radio Free "
2021,1109840,what law is concerned with the safety and health conditions in the majority of private-sector industries?,100,13,OSH Act Home Safety Act Occupational Health Act Workplace Safety Act. What law is concerned with the safety and health conditions in the majority of private-sector industries?
2021,1110996,what is the role of t tubules,100,36,"T-tubules. At some places along the length of the fiber, the sarcolemma invaginates into the cytoplasm to form transverse tubules called T-tubules. Each T-tubule is connected with smooth endoplasmic r"
2021,1111577,what is the meaning of the phrase jump on the bandwagon,100,29,"Source (s): phrase 39 jumping bandwagon 39 mean: https://trimurl.im/b72/what-does-the-phrase-39-jum... Dowland. Lv 5. 1 decade ago. The phrase ""Jump/climb on the bandwagon"" means to start doing someth"
2021,1113361,what is prior restraint?,100,27,"The Supreme Court's position on prior restraint of the press is that. prior restraint should be used fairly frequently in a democracy. prior restraint should apply only in rare circumstances, and it i"
2021,1117243,what helps u nails grow,100,28,"It may look like your fingernails and toenails start growing where your U-shaped cuticle (say: KYOO-tih-kul) begins. But there's more going on under the surface. Nails start in the nail root, hidden u"
2021,1118716,what does karl marx say about the nature of man,100,9,KEY TOPICS. For Karl Marx the whole Industrial Revolution simply consisted of the exploitation of the workers by the capitalists. [1] . About the only good thing Karl Marx had to say about the industr
2021,1121909,what are the instruments in a woodwind quintet,100,11,"The Early Development of the Wind Quintet. The woodwind quintet is comprised of the four principal woodwinds from the orchestra: flute, oboe, clarinet, and bassoon; and one brass instrument, the horn."
2021,1128632,is levothyroxine likely to cause weight loss or weight gain,100,29,"Synthroid 100 mcg — Synthroid (levothyroxine) 100 mg, while weight gain can be a symptom of hypothyroidism, taking levothyroxine does not immediately cause weight loss.. Synthroid increase the dose to"
2021,1129560,accounting definition of building improvements,100,7,Building Lease definition. Building Lease. definition. Building Lease means a contract between the department of accounting and general services and a private investor in which the private investor le
2021,168329,does light intensity or concentration of carbon dioxide have a higher rate of photosynthesis,100,41,"Greater light intensity leads to higher photosynthesis rates, as does increased carbon dioxide concentration. However, once light intensity and carbon dioxide concentration reach a certain level, phot"
2021,190623,for what is david w. taylor known,100,7,"History. The facility was previously known as the David W. Taylor Naval Ship Research and Development Center; it was renamed ""David Taylor Research Center (DTRC)"" in 1987 and later became the "" Carder"
2021,2082,At about what age do adults normally begin to lose bone mass?,100,38,"1. Losing bone density is a normal part of aging. We reach peak bone mass between ages 25 and 30, and then slowly lose begin to start losing bone mass at age 40. For women, reduced levels of estrogen "
2021,23287,are landlords liable if someone breaks in a hurts tenant,100,9,"the tenant was genuinely hurt. For example, if a tenant falls and breaks his ankle on a broken front door step, the landlord will be liable if the tenant can show that: it was the landlord's responsib"
2021,300025,how many whales are caught in fishing nets off california,100,6,"A 4.4 m (14.4 ft) male calf was also caught in small-mesh herring seine nets in the Gulf of Thailand, Songkhla Province, in May 2011, while a 7.5 m (24.6 ft) whale (thought to likely be an Omura's wha"
2021,300986,how many years in jail for money laundering,100,14,"How Much Jail Time for Money Laundering in Texas? So, how many years do you get for money laundering in the State of Texas? When it comes to money laundering jail time, Texas penal code requirements s"
2021,30611,average age of men at marriage,100,18,"Within the Lifestyle Poll sample, the average age at marriage was also significantly higher than the average age of marriage for the population at large. Specifically, the average age at marriage for "
